#,grouping,key,lines,revenue,cos,gp
1,state,Realised,1962,129805448.35,111955417.16,17850031.19
2,state,Committed,23,45904486.2,43140271.97,2764214.23
3,state,Planned,480,59848541.49,59814449.82,34091.67
4,state,Unrealised,54,1207484.07,281542.81,925941.26
5,TOTAL,Budget (all states),2519,236765960.11,215191681.76,21574278.35
6,realised_by_month,2025-09,77,1322175.27,1445277.27,-123102.0
7,realised_by_month,2025-10,223,15345519.16,12100699.9,3244819.26
8,realised_by_month,2025-11,287,20223340.22,15075864.34,5147475.88
9,realised_by_month,2025-12,176,4207082.12,4175627.68,31454.44
10,realised_by_month,2026-01,225,5462106.88,5423828.83,38278.05
11,realised_by_month,2026-02,283,7507321.95,6333580.19,1173741.76
12,realised_by_month,2026-03,238,22116121.82,19024440.71,3091681.11
13,realised_by_month,2026-04,201,21672160.06,21296240.04,375920.02
14,realised_by_month,2026-05,223,31480892.38,26444224.16,5036668.22
15,realised_by_month,2026-06,29,468728.49,635634.04,-166905.55
16,TOTAL,YTD Realised (Sep-May),,129336719.86,111319783.12,18016936.74

#,grouping,project,,budget_rev,budget_cos,budget_gp,actual_rev,actual_cos,actual_gp
17,project,Mondi,,141983214.09,135666489.68,6316724.41,48968114.24,45124818.09,3843296.15
18,project,Coega Steels Ph2,,13730976.65,11262127.83,2468848.82,13730976.65,10492741.55,3238235.1
19,project,Seshego Circle,,10428344.3,7631625.19,2796719.11,10447228.81,7666862.68,2780366.13
20,project,De Drift,,5960420.93,5141328.05,819092.88,5542316.89,4553804.89,988512.0
21,project,Unitrans Brackenfell,,5338965.18,5128642.28,210322.9,4499896.85,3734959.53,764937.32
22,project,Klein Karoo Phase 2,,5227668.85,3840609.31,1387059.54,3904726.16,2793257.02,1111469.14
23,project,PnP Bethal,,4113755.55,3581057.8,532697.75,4012181.23,3460185.13,551996.1
24,project,12 Nourse,,3508566.63,2768168.22,740398.41,7464.85,11525,-4060.15
25,project,1 Bolt Ave,,3377404.71,2224021.15,1153383.56,3283810.51,2224021.15,1059789.36
26,project,25 Superior Road,,2876700.7,2531793.64,344907.06,291469.41,249256.14,42213.27
27,project,Mahikeng Builders Express,,2794411.36,2683551.6,110859.76,2791686.36,2672165.59,119520.77
28,project,Upper_East_Side_Hotel,,2788065.17,3068878.47,-280813.3,2788065.17,3068878.47,-280813.3
29,project,Swellengrebel,,2718200.07,2393089.2,325110.87,846342.37,597397.05,248945.32
30,project,Topsteel,,2345835.87,1622943.59,722892.28,2335247.11,1622943.59,712303.52
31,project,Shoprite Mini - Bredarsdorp,,2077435.95,1501186.92,576249.03,2064651.73,1501186.92,563464.81
32,project,Standard Bank GQ,,2041415.14,1319839.7,721575.44,2037661.67,1319839.7,717821.97
33,project,Shoprite Mini - Citrusdal,,2004738.54,1378410.16,626328.38,2034295.69,1378410.16,655885.53
34,project,Shoprite Mini Riversdal,,1980296.04,1512038.56,468257.48,1758684.26,1417953.12,340731.14
35,project,7th Avenue Park,,1891695.41,1316524.13,575171.28,1891695.41,1316524.13,575171.28
36,project,Riverside Mall,,1863815.57,1325271.38,538544.19,1863608.26,1325113.88,538494.38
37,project,261 Bree Street,,1600387.42,1191411.28,408976.14,1312946.38,902315.15,410631.23
38,project,Maynard Mall Extension,,1576544.32,1220534.42,356009.9,9330.08,10600,-1269.92
39,project,Steelpark,,1399380.59,832791.53,566589.06,1397919.38,901136.53,496782.85
40,project,Malvern Ph2,,1366576.13,925996.21,440579.92,1363447.07,925996.21,437450.86
41,project,Superspar Ph2,,1364882.37,956714.69,408167.68,1327267.76,922286.69,404981.07
42,project,Hungry Lion - Citrusdal,,1292329.32,894259.96,398069.36,1312612.9,894259.96,418352.94
43,project,Blackheath Park - Spear,,1251752.24,1499824.99,-248072.75,1251752.24,1499824.99,-248072.75
44,project,Red Rocket,,1203406.5,1275880.66,-72474.16,1245628.66,1275880.66,-30252.0
45,project,Gezina Galleries,,962918.12,1230541.2,-267623.08,962918.12,1230541.2,-267623.08
46,project,Milkwood Square,,853949.9,741874.34,112075.56,915881.94,741874.34,174007.6
47,project,Westway Centre BESS,,823858.26,633364.89,190493.37,823858.26,633364.89,190493.37
48,project,Volvo Moffet,,746475.29,565662.38,180812.91,617091.99,431829.82,185262.17
49,project,Randfontein,,729418.38,731522.32,-2103.94,286911.38,731522.32,-444610.94
50,project,Life Changers,,664690.99,498163.66,166527.33,513062.37,416636,96426.37
51,project,FY 2026 Adhoc,,505707.28,898608.14,-392900.86,280337.54,587588.79,-307251.25
52,project,IconSA_KZN,,361550.45,230638.97,130911.48,361550.45,230638.97,130911.48
53,project,Pretoria North,,355211.92,573725.49,-218513.57,355211.92,573725.49,-218513.57
54,project,Tsakana Corner,,322188.15,425014.93,-102826.78,117205.63,425014.93,-307809.3
55,project,BMG Fluid Tech,,263646.06,423962.83,-160316.77,227876.85,423962.83,-196085.98
56,project,China Town Adhoc,,64915.91,126620,-61704.09,18270,110120,-91850
57,project,Gillwell,,4243.8,227944.04,-223700.24,4243.8,227944.04,-223700.24
58,project,Boundary Terraces,,0,-39782.71,39782.71,0,-29282.86,29282.86
59,project,Cascades,,0,-3017.39,3017.39,0,-3017.39,3017.39
60,project,Lynnridge Mall_1,,0,79042.5,-79042.5,0,79042.5,-79042.5
61,project,Meraki Ph3,,0,75367.05,-75367.05,0,135478.44,-135478.44
62,project,Sibasa,,0,618020.42,-618020.42,0,686890.77,-686890.77
63,project,Trident Steel GP,,0,17160,-17160,0,17160,-17160
64,project,Mayo Macs,,0,442238.1,-442238.1,0,440238.1,-440238.1
