path,label,section,permissionEntity,isSidebarLink,COO_ADMIN:nav,COO_ADMIN:view,COO_ADMIN:create,COO_ADMIN:edit,COO_ADMIN:delete,CEO_ADMIN:nav,CEO_ADMIN:view,CEO_ADMIN:create,CEO_ADMIN:edit,CEO_ADMIN:delete,CCO:nav,CCO:view,CCO:create,CCO:edit,CCO:delete,CFO:nav,CFO:view,CFO:create,CFO:edit,CFO:delete,PROGRAM_MANAGER:nav,PROGRAM_MANAGER:view,PROGRAM_MANAGER:create,PROGRAM_MANAGER:edit,PROGRAM_MANAGER:delete,PROGRAM_FINANCE_MANAGER:nav,PROGRAM_FINANCE_MANAGER:view,PROGRAM_FINANCE_MANAGER:create,PROGRAM_FINANCE_MANAGER:edit,PROGRAM_FINANCE_MANAGER:delete,CONSTRUCTION_MANAGER:nav,CONSTRUCTION_MANAGER:view,CONSTRUCTION_MANAGER:create,CONSTRUCTION_MANAGER:edit,CONSTRUCTION_MANAGER:delete,QUALITY_MANAGER:nav,QUALITY_MANAGER:view,QUALITY_MANAGER:create,QUALITY_MANAGER:edit,QUALITY_MANAGER:delete,ENGINEERING_MANAGER:nav,ENGINEERING_MANAGER:view,ENGINEERING_MANAGER:create,ENGINEERING_MANAGER:edit,ENGINEERING_MANAGER:delete,KEY_ACCOUNTS_MANAGER:nav,KEY_ACCOUNTS_MANAGER:view,KEY_ACCOUNTS_MANAGER:create,KEY_ACCOUNTS_MANAGER:edit,KEY_ACCOUNTS_MANAGER:delete,ACCOUNTANT:nav,ACCOUNTANT:view,ACCOUNTANT:create,ACCOUNTANT:edit,ACCOUNTANT:delete,ENGINEER:nav,ENGINEER:view,ENGINEER:create,ENGINEER:edit,ENGINEER:delete,PROJECT_MANAGER_SITE:nav,PROJECT_MANAGER_SITE:view,PROJECT_MANAGER_SITE:create,PROJECT_MANAGER_SITE:edit,PROJECT_MANAGER_SITE:delete,PROJECT_DEVELOPER:nav,PROJECT_DEVELOPER:view,PROJECT_DEVELOPER:create,PROJECT_DEVELOPER:edit,PROJECT_DEVELOPER:delete,HSE_MANAGER:nav,HSE_MANAGER:view,HSE_MANAGER:create,HSE_MANAGER:edit,HSE_MANAGER:delete,SSEG_MANAGER:nav,SSEG_MANAGER:view,SSEG_MANAGER:create,SSEG_MANAGER:edit,SSEG_MANAGER:delete,COO_SUPER_ADMIN:nav,COO_SUPER_ADMIN:view,COO_SUPER_ADMIN:create,COO_SUPER_ADMIN:edit,COO_SUPER_ADMIN:delete
/company-overview,Company Overview,PORTFOLIO,execution_board,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,Y
/ceo,CEO Dashboard,,execution_board,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,Y,Y,Y
/coo,COO Dashboard,,execution_board,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,Y,Y,Y
/settings,Settings,ADMIN,admin_roles,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y
/projects/:projectId/documents,Project Documents,,projects,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,Y,Y,Y
/admin/document-types,Document types,ADMIN,admin_roles,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y
/admin/email-linker-dev,Email auto-linker (dev),,admin_roles,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y
/handover/:projectId/live,Handover live meeting,,projects,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,Y,Y,Y
/project-lifecycle,Project Lifecycle,,lifecycle,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,Y,Y,Y
/project-lifecycle/stage-gates,Stage Gates,,lifecycle,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,Y,Y,Y
