table,export,server,client,migrations,shared,total_refs,status
tasks,tasks,302,849,0,28,1179,live
projects,projects,365,534,0,20,919,live
users,users,300,131,9,119,559,live
project_info,projectInfo,427,27,0,34,488,live
work_items,workItems,329,5,0,9,343,live
notifications,notifications,116,163,0,10,289,live
deliverables,deliverables,156,77,0,11,244,live
expenses,expenses,191,48,0,4,243,live
operational_tasks,operationalTasks,213,0,0,10,223,live
approvals,approvals,56,129,0,13,198,live
ee_info_nodes,eeInfoNodes,159,0,0,9,168,live
counterparties,counterparties,91,33,2,9,135,live
normalized_cost_lines,normalizedCostLines,114,0,0,3,117,live
smart_import_runs,smartImportRuns,98,0,0,9,107,live
portfolios,portfolios,31,59,0,9,99,live
clients,clients,36,34,0,8,78,live
project_eng_stages,projectEngStages,71,0,0,6,77,live
task_activity_log,taskActivityLog,64,0,0,3,67,live
normalized_revenue_lines,normalizedRevenueLines,59,0,0,3,62,live
qc_item_instance,qcItemInstance,58,0,0,4,62,live
tr_items,trItems,54,0,0,5,59,live
eng_stage_templates,engStageTemplates,51,0,0,6,57,live
invoice_pattern_rules,invoicePatternRules,50,0,0,4,54,live
task_deliverables,taskDeliverables,38,11,0,3,52,live
qc_warning,qcWarning,47,0,0,4,51,live
engineering_tasks,engineeringTasks,35,11,0,4,50,live
project_eng_approvals,projectEngApprovals,46,0,0,3,49,live
import_issues,importIssues,43,0,0,3,46,live
ms_objects,msObjects,43,0,0,3,46,live
mytool_tasks,mytoolTasks,41,0,0,5,46,live
notification_throttle,notificationThrottle,40,0,0,3,43,live
intake_requests,intakeRequests,37,0,0,4,41,live
qc_checklist,qcChecklist,36,0,0,5,41,live
teams_chat_members,teamsChatMembers,38,0,0,3,41,live
project_eng_tasks,projectEngTasks,33,0,0,4,37,live
budgets,budgets,26,6,0,4,36,live
project_phase_history,projectPhaseHistory,33,0,0,3,36,live
work_item_dependencies,workItemDependencies,33,0,0,3,36,live
phase_template,phaseTemplate,30,0,0,5,35,live
revenues,revenues,23,9,0,3,35,live
cashflow_points,cashflowPoints,31,0,0,3,34,live
scenarios,scenarios,14,15,0,5,34,live
mytool_company_priorities,mytoolCompanyPriorities,27,0,0,5,32,live
plan_edit_notifications,planEditNotifications,29,0,0,3,32,live
finance_cos_monthly,financeCosMonthly,27,0,0,3,30,live
finance_revenue_monthly,financeRevenueMonthly,27,0,0,3,30,live
tr_item_project_links,trItemProjectLinks,27,0,0,3,30,live
eng_task_templates,engTaskTemplates,25,0,0,4,29,live
pd_tickets,pdTickets,23,2,0,4,29,live
issue_resolution_rules,issueResolutionRules,25,0,0,3,28,live
qc_template_item,qcTemplateItem,24,0,0,4,28,live
phase_template_application,phaseTemplateApplication,24,0,0,3,27,live
phase_template_item,phaseTemplateItem,23,0,0,4,27,live
weekly_reviews,weeklyReviews,20,4,0,3,27,live
ee_info_edges,eeInfoEdges,23,0,0,2,25,live
financial_edit_requests,financialEditRequests,22,0,0,3,25,live
teams_chat_messages,teamsChatMessages,21,0,0,3,24,live
app_settings,appSettings,21,0,0,2,23,live
audit_events,auditEvents,18,2,0,3,23,live
change_sets,changeSets,19,0,0,4,23,live
expense_task_links,expenseTaskLinks,20,0,0,3,23,live
meeting_action_items,meetingActionItems,20,0,0,3,23,live
milestone_task_links,milestoneTaskLinks,20,0,0,3,23,live
ms_accounts,msAccounts,20,0,0,3,23,live
project_plan_overrides,projectPlanOverrides,20,0,0,3,23,live
snapshot_metrics,snapshotMetrics,6,13,0,4,23,live
task_comments,taskComments,20,0,0,3,23,live
project_eng_deliverables,projectEngDeliverables,19,0,0,3,22,live
role_permissions,rolePermissions,19,0,0,3,22,live
teams_chat_groups,teamsChatGroups,17,0,0,5,22,live
expenditure_overrides,expenditureOverrides,17,0,0,3,20,live
work_item_assignments,workItemAssignments,17,0,0,3,20,live
project_portfolio_assignments,projectPortfolioAssignments,16,0,0,3,19,live
working_plan_task_override,workingPlanTaskOverride,16,0,0,3,19,live
intake_task_templates,intakeTaskTemplates,14,0,0,4,18,live
revenue_tracking_overrides,revenueTrackingOverrides,15,0,0,3,18,live
role_credentials,roleCredentials,15,0,0,3,18,live
working_plan_scenario,workingPlanScenario,13,0,0,5,18,live
cashflow_planning_overrides,cashflowPlanningOverrides,14,0,0,3,17,live
raid_items,raidItems,14,0,0,3,17,live
working_plan_dependency_override,workingPlanDependencyOverride,14,0,0,3,17,live
cashflow_weekly_manual,cashflowWeeklyManual,13,0,0,3,16,live
eng_deliverable_templates,engDeliverableTemplates,12,0,0,4,16,live
finance_cos_overrides,financeCosOverrides,13,0,0,3,16,live
finance_revenue_overrides,financeRevenueOverrides,13,0,0,3,16,live
financial_integration_rules,financialIntegrationRules,13,0,0,3,16,live
payment_terms,paymentTerms,6,6,0,4,16,live
qc_access_challenge,qcAccessChallenge,13,0,0,3,16,live
triage_rules,triageRules,10,3,0,3,16,live
change_ledger,changeLedger,12,0,0,3,15,live
ee_info_node_metrics,eeInfoNodeMetrics,12,0,0,3,15,live
invoice_pattern_matches,invoicePatternMatches,12,0,0,3,15,live
meeting_summaries,meetingSummaries,11,0,0,4,15,live
qc_template_group,qcTemplateGroup,11,0,0,4,15,live
qc_template_phase,qcTemplatePhase,10,0,0,5,15,live
sp_files,spFiles,10,0,0,5,15,live
user_project_folders,userProjectFolders,13,0,0,2,15,live
ee_info_node_details,eeInfoNodeDetails,11,0,0,3,14,live
ee_info_node_editors,eeInfoNodeEditors,11,0,0,3,14,live
import_runs,importRuns,9,0,0,5,14,live
intake_tasks,intakeTasks,11,0,0,3,14,live
mapping_rules,mappingRules,11,0,0,3,14,live
phase_template_item_history,phaseTemplateItemHistory,11,0,0,3,14,live
project_plan_dependency,projectPlanDependency,10,0,0,4,14,live
project_rag_audit,projectRagAudit,11,0,0,3,14,live
