Project,2025-09 Realised,2025-09 Committed,2025-10 Realised,2025-10 Committed,2025-11 Realised,2025-11 Committed,2025-12 Realised,2025-12 Committed,2026-01 Realised,2026-01 Committed,2026-02 Realised,2026-02 Committed,2026-03 Realised,2026-03 Committed,2026-04 Realised,2026-04 Committed,2026-05 Realised,2026-05 Committed,2026-06 Realised,2026-06 Committed,2026-07 Realised,2026-07 Committed,2026-08 Realised,2026-08 Committed,FY26 Realised,FY26 Committed,FY26 Total
"Shoprite Mini Citrusdal",0,0,2517440,0,1238168,0,130708,0,773825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4660141,0,4660141
"Hungry Lion Citrusdal",0,0,1530366,0,1208339,0,172300,0,65162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2976167,0,2976167
"IconsSA KZN",410510,0,404176,0,15229,0,0,0,50300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880215,0,880215
"Shoprite Mini Bredarsdorp",0,0,355486,0,4387241,0,-11428,0,797412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5528712,0,5528712
"Klein Karoo Phase 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,56870,0,0,150059,0,330130,0,90036,0,30012,56870,600237,657107
"De Drift",0,0,0,0,0,0,0,0,0,0,0,0,3124594,0,25125,412075,0,135150,0,756863,0,75686,0,0,3149719,1379774,4529493
"Dobsonpoint",315144,0,29713,0,227477,0,6155,0,46931,0,66,0,51042,0,0,0,0,0,0,0,0,0,0,0,676529,0,676529
"Mahikeng Builders Express",0,0,1105136,0,475501,0,939803,0,99214,0,73525,0,-8434,0,8150,6123,0,0,0,0,0,0,0,0,2692894,6123,2699017
"PnP Bethal",0,0,0,0,0,0,0,0,0,0,3962,0,2492813,0,130259,475045,0,323388,0,43378,0,0,0,0,2627034,841811,3468845
"Kroonstad",48019,0,109304,0,-7795,0,111167,0,0,0,0,0,2314,0,0,0,0,0,0,0,0,0,0,0,263010,0,263010
"Mondi",0,0,0,0,0,0,0,0,0,0,0,0,11354316,0,1138255,22006895,0,13154574,0,29471072,0,17030833,0,809632,12492571,82473006,94965577
"Umzimkhulu",4101,0,239066,0,5135,0,7212,0,0,0,-1353,0,5579,0,0,0,0,0,0,0,0,0,0,0,259741,0,259741
"Unitrans Brackenfell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,184044,0,0,241642,0,46079,0,115197,0,11520,184044,414437,598481
"Riverside Mall",0,0,0,0,8573,0,0,0,841739,0,314364,0,114893,0,11073,0,0,0,0,0,0,0,0,0,1290642,0,1290642
"Northpoint",-29443,0,657,0,0,0,10572,0,10572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7642,0,-7642
"STD GQ",0,0,1331390,0,200122,0,1079600,0,494238,0,330487,0,0,0,0,0,0,0,0,0,0,0,0,0,3435837,0,3435837
"Marikana Old Church",99665,0,271965,0,39900,0,41230,0,39989,0,0,0,4392,0,6450,0,0,0,0,0,0,0,0,0,503591,0,503591
"Seshego Circle",171071,0,5009238,0,532461,0,625755,0,294051,0,368102,0,579132,0,13700,12358,0,0,0,0,0,0,0,0,7593510,12358,7605868
"Coega Steels Ph2",-26633,0,138859,0,6751443,0,350823,0,1483578,0,2065278,-35545,32196,0,0,71896,0,0,0,0,0,0,0,0,10795543,36351,10831894
"Upper East Side Hotel",975,0,215809,0,2417924,0,105,0,126000,0,457999,0,-53782,0,0,1300,0,0,0,0,0,0,0,0,3165030,1300,3166330
"Milkwood Square",799295,0,1147805,0,69338,0,0,0,63465,0,74520,0,49680,0,0,0,0,0,0,0,0,0,0,0,2204102,0,2204102
"SA Metal 22 Christiaan",0,0,0,0,0,0,0,0,-29195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29195,0,-29195
"7th Avenue Park",0,0,0,0,0,0,8573,0,165550,0,1021344,0,152096,0,0,0,0,0,0,0,0,0,0,0,1347562,0,1347562
"Red Rocket",187345,0,840140,0,125923,0,153747,0,-1562,0,64942,0,0,0,54590,11000,0,0,0,0,0,0,0,0,1425125,11000,1436125
"Corporate Park",31522,0,286512,0,79650,0,26550,0,0,0,11641,0,2314,0,0,1522,0,0,0,0,0,0,0,0,438189,1522,439711
"Bochum Plaza",120006,0,3744,0,33750,0,0,0,178841,0,0,0,2314,0,0,0,0,0,0,0,0,0,0,0,338654,0,338654
"SA Metal 20 Christiaan",0,0,0,0,0,0,0,0,-58390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58390,0,-58390
"25 Superior Road",0,0,0,0,0,0,0,0,0,0,0,0,249256,0,0,9251,0,0,0,0,0,0,0,0,249256,9251,258507
"261 Bree Street",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34038,0,74883,0,20423,0,3404,0,132747,132747
"1 Bolt Ave",136869,0,1346487,0,367659,0,342860,0,14024,0,47376,0,6621,0,0,0,0,0,0,0,0,0,0,0,2261896,0,2261896
"Blackheath Park",-79405,0,224271,0,887883,0,71012,0,64402,0,332062,0,-400,0,0,0,0,0,0,0,0,0,0,0,1499825,0,1499825
"BMG Fluid Tech",7215,0,53908,0,99970,0,147665,0,39708,0,-2790,0,62302,0,8250,0,0,0,0,0,0,0,0,0,416227,0,416227
"FY 2026 Adhoc",0,0,0,0,0,0,0,0,0,0,78330,0,44019,0,124197,0,0,0,0,0,0,0,0,0,246546,0,246546
"Gezina Galleries",139941,0,79998,0,503296,0,260821,0,123865,0,80160,0,111331,0,0,0,0,0,0,0,0,0,0,0,1299411,0,1299411
"SA Metal 14 Christiaan B",0,0,0,0,0,0,0,0,-58390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58390,0,-58390
"Gillwell",173316,0,0,0,12500,0,0,0,-23537,0,0,0,65096,0,0,0,0,0,0,0,0,0,0,0,227374,0,227374
"Boundary Terraces",-43033,0,0,0,13750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29283,0,-29283
"Malvern Ph2",0,0,490388,0,372620,0,27950,0,17506,0,0,0,17298,0,0,0,0,0,0,0,0,0,0,0,925763,0,925763
"Marikana Shoprite",418217,0,607044,0,63700,0,49490,0,42275,0,0,0,3921,0,7450,0,0,0,0,0,0,0,0,0,1192097,0,1192097
"Pimville",15930,0,7040,0,4385,0,6088,0,13678,0,66,0,44888,0,0,0,0,0,0,0,0,0,0,0,92075,0,92075
"Meraki Ph3",84311,0,32825,0,11800,0,0,0,6543,7329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135478,7329,142807
"Shoprite Mini Riversdal",0,0,0,0,0,0,0,0,0,0,0,0,3208,0,0,18880,0,28320,0,132159,0,4720,0,0,3208,184079,187286
"China Town Adhoc",0,0,0,0,0,0,18270,0,0,0,0,0,60950,0,30900,0,0,0,0,0,0,0,0,0,110120,0,110120
"Pretoria North",51785,0,198922,0,67966,0,67422,0,45195,0,59768,0,2968,0,0,0,0,79700,0,0,0,0,0,0,494025,79700,573725
"Randfontein",147739,0,125,0,250056,0,245,0,110215,0,177057,0,3452,0,0,0,0,0,0,0,0,0,0,0,688890,0,688890
"Cascades",0,0,0,0,-3017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3017,0,-3017
"Sibasa",24295,0,225408,0,45930,0,131413,0,46566,0,119819,0,90599,0,2860,0,0,0,0,0,0,0,0,0,686891,0,686891
"Swellengrebel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,134235,0,0,0,0,0,0,0,0,0,134235,0,134235
"Superspar Ph2",0,0,0,0,878,0,490305,0,189252,0,266441,0,0,0,0,0,0,0,0,0,0,0,0,0,946877,0,946877
"Steelpark",0,0,0,0,0,0,0,0,0,0,649017,0,145412,0,95650,0,0,0,0,0,0,0,0,0,890079,0,890079
"Topsteel",0,0,0,0,0,0,7947,0,1035506,0,387134,0,166400,0,25956,0,0,0,0,0,0,0,0,0,1622944,0,1622944
"Tsakana Corner",7275,0,116131,0,165538,0,0,0,20200,0,68148,0,5367,0,8061,0,0,0,0,0,0,0,0,0,390720,0,390720
