Project,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,FY26 Total
"1 Bolt Ave",136869,1346487,367659,342860,14024,47376,6621,0,0,0,0,0,2261896
"25 Superior Road",0,0,0,0,0,0,249737,9732,1797581,175224,319521,0,2551795
"261 Bree Street",0,0,0,0,0,0,280,280,832113,240458,48242,6207,1127580
"7th Avenue Park",0,0,0,8573,165550,1021344,152096,481,0,0,0,0,1348044
"BMG Fluid Tech",7215,53908,99970,147665,39708,-2790,62302,8250,0,0,0,0,416228
"Blackheath Park",-79405,224271,887883,71012,64402,332062,-400,0,0,0,0,0,1499825
"Bochum Plaza",120006,3744,33750,0,178841,0,2314,0,0,0,0,0,338655
"Boundary Terraces",-43033,0,13750,0,0,0,0,-10500,0,0,0,0,-39783
"Cascades",0,0,-3017,0,0,0,0,0,0,0,0,0,-3017
"China Town Adhoc",0,0,0,18270,0,0,60950,30900,0,0,0,0,110120
"Coega Steels Ph2",-26633,138859,6751443,350823,1483578,2029734,32196,793955,0,0,0,0,11553955
"Corporate Park",31522,286512,79650,26550,0,11641,2314,1522,0,0,0,0,439711
"De Drift",0,0,0,0,0,0,3124594,455700,138650,860941,75686,15000,4670571
"Dobsonpoint",315144,29713,227477,6155,46931,66,51042,0,0,0,0,0,676528
"FY 2026 Adhoc",0,0,0,0,0,78330,44135,124197,0,0,0,0,246662
"Gezina Galleries",139941,79998,503296,260821,123865,80160,111331,-68870,0,0,0,0,1230542
"Gillwell",173316,0,12500,0,-23537,0,65096,-40000,0,0,0,0,187375
"Hungry Lion Citrusdal",0,1530366,1208339,172300,65162,0,0,0,0,0,0,0,2976167
"IconsSA KZN",410510,404176,15229,0,50300,0,0,0,0,0,0,0,880215
"Klein Karoo Phase 2",0,0,0,0,0,0,0,69880,2882722,958190,213934,77387,4202113
"Kroonstad",48019,109304,-7795,111167,0,0,2314,0,0,0,0,0,263009
"Lynnridge Mall",79043,0,0,0,0,0,0,0,0,0,0,0,79043
"MEGA PARK P2",0,0,283043,0,0,0,0,0,0,0,0,0,283043
"Mahikeng Builders Express",0,1105136,475501,939803,99214,73525,2952,14273,0,0,0,0,2710404
"Malvern Ph2",0,490388,372620,27950,17506,0,17298,0,0,0,0,0,925762
"Marikana Old Church",99665,271965,39900,41230,39989,0,4392,6450,0,0,0,0,503591
"Marikana Shoprite",418217,607044,63700,49490,42275,0,3921,7450,0,0,0,0,1192097
"Mayo Macs",14110,0,0,15813,201879,59777,70729,12814,0,0,0,0,375122
"Meraki Ph3",84311,32825,11800,0,-53569,0,0,0,0,0,0,0,75367
"Milkwood Square",799295,1147805,69338,0,63465,74520,49680,0,0,0,0,0,2204103
"Mondi",0,0,0,0,0,0,11916696,29344660,23794875,37575072,23960511,12812387,139404201
"Northpoint",-29443,657,0,10572,10572,0,0,0,0,0,0,0,-7642
"Pimville",15930,7040,4385,6088,13678,66,44888,0,0,0,0,0,92075
"PnP Bethal",0,0,0,0,0,3962,2492813,686414,382283,43378,0,0,3608850
"Pretoria North",51785,198922,67966,67422,45195,59768,2968,0,79700,0,0,0,573726
"Randfontein",147739,125,250056,245,110215,177057,3452,41943,0,0,0,0,730832
"Red Rocket",187345,840140,125923,153747,-1562,64942,0,86897,0,0,0,0,1457432
"Riverside Mall",0,0,8573,0,841739,314364,114893,34517,0,0,0,0,1314086
"SA Metal 14 Christiaan B",0,0,0,0,-58390,0,0,0,0,0,0,0,-58390
"SA Metal 20 Christiaan",0,0,0,0,-58390,0,0,0,0,0,0,0,-58390
"SA Metal 22 Christiaan",0,0,0,0,-29195,0,0,0,0,0,0,0,-29195
"STD GQ",0,1331390,200122,1079600,494238,330487,0,0,0,0,0,0,3435837
"Seshego Circle",171071,5009238,532461,625755,294051,368102,579132,246326,0,0,0,0,7826136
"Shoprite Mini Bredarsdorp",0,355486,4387241,-11428,797412,0,0,0,0,0,0,0,5528711
"Shoprite Mini Citrusdal",0,2517440,1238168,130708,773825,0,0,0,0,0,0,0,4660141
"Shoprite Mini Riversdal",0,0,0,0,0,0,5045,1035358,52285,356632,8408,0,1457728
"Sibasa",24295,225408,45930,131413,46566,119819,90599,2860,-68870,0,0,0,618020
"Steelpark",0,0,0,0,0,651095,145412,51320,525,0,0,0,848352
"Superspar Ph2",0,0,878,490305,189252,266441,0,34428,0,0,0,0,981304
"Swellengrebel",0,0,0,0,0,3124,3124,1507550,176521,589827,34680,0,2314826
"Topsteel",0,0,0,7947,1035506,387134,166400,27137,0,0,0,0,1624124
"Trident Steel GP",0,0,0,0,17160,0,0,0,0,0,0,0,17160
"Tsakana Corner",7275,116131,165538,0,20200,68148,5367,41768,0,0,0,0,424427
"Umzimkhulu",4101,239066,5135,7212,0,-1353,5579,0,0,0,0,0,259740
"Unitrans Brackenfell",0,0,0,0,0,0,150,3432825,860024,87151,283600,19963,4683713
"Upper East Side Hotel",975,215809,2417924,105,126000,457999,-53782,60084,0,0,0,0,3225114
"Volvo Moffet",0,0,0,0,0,0,0,35219,503208,9819,71131,3200,622577
"Waterside",233513,115272,86457,54772,10500,19228,3985,0,0,0,0,0,523727
"Westway BESS",0,0,0,0,0,577626,15739,38792,0,0,0,0,632157
TOTAL,3542698,19034625,21042793,5344945,7298155,7673754,19658354,38124612,31431617,40896692,25015713,12934144,231998102
